#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Crying Lightning","Arctic Monkeys",75,107,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Humbug",2009-08-20,03:44,50,89,1,0,67,0,20,-4,E Minor,4,2023-10-11,6wVWJl64yoTzU27EI8ep20,"Domino Recording Co",9A,https://p.scdn.co/mp3-preview/2c7443ba5baef95ba1c1af1c8852e2365a083915?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f65d720a5d70dbb93e96d528
2,"Buzzcut Season","Lorde",73,111,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Pure Heroine",2013-09-27,04:06,73,62,61,31,25,0,10,-11,C♯/D♭ Major,4,2023-10-11,51QEyJI5M7uyd8DOh9tqQY,"Universal Music New Zealand Limited",3B,,https://i.scdn.co/image/ab67616d00004851187331e276c898d39764cc98
3,"Ode To The Mets","The Strokes",69,92,"alternative rock, garage rock, modern rock, permanent wave, rock","Rock","The New Abnormal",2020-04-10,05:51,43,62,34,18,20,0,10,-5,C♯/D♭ Minor,4,2023-10-11,1BLOVHYYlH4JUHQGcpt75R,"Cult Records/RCA Records",12A,https://p.scdn.co/mp3-preview/f5b6d13e2e4f3828dd3d70c2110ae9522c8e8732?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bfa99afb5ef0d26d5064b23b
4,"Instant Crush (feat. Julian Casablancas)","Daft Punk,Julian Casablancas",78,110,"electro, filter house, rock, indie rock","Hip Hop, Electronic, Rock","Random Access Memories",2013-05-20,05:37,78,59,4,62,52,0,0,-10,A#/B♭ Minor,4,2023-10-11,2cGxRwrMyEAp8dEbuZaVv6,"Columbia",3A,https://p.scdn.co/mp3-preview/a52d000457fc91fdb18bfaa1f690c82bf7b1a036?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b9b36b0e22870b9f542d937
5,"I Know The End","Phoebe Bridgers",0,111,"indie pop, la indie, pov: indie","Pop","Punisher",2020-06-18,05:44,33,32,32,2,26,0,20,-10,C♯/D♭ Major,4,2023-10-11,3cr3oAP4bQFNjZBV7ElKaB,"Dead Oceans",3B,,https://i.scdn.co/image/ab67616d000048513040ca980277cf1445934add
6,"Taro","alt-J",0,172,"indie rock, indietronica, modern alternative rock, modern rock, rock","Rock, Pop","An Awesome Wave",2012-05-28,05:14,35,48,77,0,29,0,0,-11,F Major,4,2023-10-11,36ylLzMtvJ2CItc7bN4TcF,"Infectious",7B,,https://i.scdn.co/image/ab67616d00004851d381b6e0d9ffb31c47080079
7,"Close Your Eyes","The All-American Rejects",41,92,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge","Metal, Rock, Folk/Acoustic, Pop","Sweat",2017-07-07,04:27,47,63,7,0,8,0,0,-8,C♯/D♭ Major,4,2023-10-11,4HM8tkHTQ6JVSMfsJOrcAW,"Interscope",3B,,https://i.scdn.co/image/ab67616d0000485167b0553c5c2f81c5639b1be7
8,"Hold No Grudge - Bonus Track","Lorde",51,155,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Solar Power (Deluxe Edition)",2021-11-05,04:28,66,34,88,0,49,20,0,-13,G Major,4,2023-10-11,188rKyWMsC4WsKKZ85lnUO,"Universal Music New Zealand Limited",9B,,https://i.scdn.co/image/ab67616d00004851a5603d487cfa2c30a05cdfaa
9,"Balaclava","Arctic Monkeys",63,138,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Favourite Worst Nightmare",2007-04-22,02:51,41,81,0,0,76,0,30,-4,B Minor,4,2023-10-11,0ftMOhVfFm5Wbs5sZdEtsC,"Domino Recording Co",10A,https://p.scdn.co/mp3-preview/22baa82ce604d71a3a5747e2987a1ac682200cc7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface
10,"Keep On","Portugal. The Man",47,140,"indie rock, indietronica, modern alternative rock, modern rock","Rock, Pop","Woodstock",2017-06-16,03:23,67,68,25,5,78,0,0,-7,C Major,4,2023-10-11,4wnqFGTV4268VQgCG1jn7J,"Atlantic Records",8B,https://p.scdn.co/mp3-preview/f89a7581838ff42ad792c5e94d944be5e42f88e7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af52c228c9619ff6298b08cd
